filename,year,title,journal,doi,pmid,has_fulltext,study_type,study_type_all,topics,interventions,organism_focus,n_topics
Krishnan_2025,2025,Fractional inhibitory concentration of bio-actives from agricultural waste disassembles biofilms and quenches virulence of nosocomial pathogens.,Journal of medical microbiology,10.1099/jmm.0.001980,40100248,yes,in_vitro,in_vitro,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|polymicrobial,natural_product,multi_species,8
Chong_2025,2025,Insights into biofilm-mediated mechanisms driving last-resort antibiotic resistance in clinical ESKAPE pathogens.,Critical reviews in microbiology,10.1080/1040841X.2025.2473332,40098357,abstract_only,in_vitro,in_vitro,biofilm|antibiotic_resistance|peptide_amp,peptide,multi_species,3
lek_2025,2025,Isolation and characterization a novel Acinetobacter bacteriophage with activity against several multidrug-resistant Gram-negative bacteria.,Microbial pathogenesis,10.1016/j.micpath.2025.107488,40090498,abstract_only,other,,antibiotic_resistance|phage_therapy,phage,multi_species,2
Su_2025,2025,Characterization of a novel lytic phage vB_AbaM_AB4P2 encoding depolymerase and its application in eliminating biofilms formed by Acinetobacter baumannii.,BMC microbiology,10.1186/s12866-025-03854-3,40057696,yes,omics,omics|clinical|in_vitro,biofilm|virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|epidemiology,phage,multi_species,6
Aruwa_2025,2025,Modulating Acinetobacter baumannii BfmR (RstA) drug target: Daniellia oliveri compounds as RstA quorum sensing inhibitors.,Computational biology and chemistry,10.1016/j.compbiolchem.2025.108413,40056709,abstract_only,in_silico,in_silico|in_vitro,qsi_discovery|gene_regulation,,a_baumannii_only,2
BellI_2025,2025,Targeting the quorum sensing network in Acinetobacter baumannii: A dual target structure-based approach for the development of novel antimicrobials.,Computers in biology and medicine,10.1016/j.compbiomed.2025.109828,39938338,abstract_only,in_silico,in_silico,abaI_abaR_axis|ahl_chemistry|antibiotic_resistance|gene_regulation,,a_baumannii_only,4
Beasley_2025,2025,Breaking the Phalanx: Overcoming Bacterial Drug Resistance with Quorum Sensing Inhibitors that Enhance Therapeutic Activity of Antibiotics.,bioRxiv : the preprint server for biology,10.1101/2025.01.17.633658,39896648,yes,clinical,clinical|in_silico|methodology|in_vitro,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|drug_repurposing|second_messenger,natural_product|synthetic_compound|repurposed_drug,multi_species,10
Zhang_2025,2025,Understanding the clinical and molecular epidemiological characteristics of carbapenem-resistant Acinetobacter baumannii infections within intensive care units of three teaching hospitals.,Annals of clinical microbiology and antimicrobials,10.1186/s12941-024-00766-4,39806310,yes,clinical,clinical|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|epidemiology,,multi_species,5
Sharma_2025,2025,Comparative study of phenotypic and genotypic expression of virulence factors in colonizing and pathogenic carbapenem resistant Acinetobacter baumannii (CRAB).,BMC microbiology,10.1186/s12866-024-03727-1,39799303,yes,animal_model,animal_model|clinical|in_vitro,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|iron_metabolism,,a_baumannii_only,6
Zehra_2025,2025,"Relationship of biofilm formation with antibiotic resistance, virulence determinants and genetic diversity in clinically isolated Acinetobacter baumannii strains in Karachi, Pakistan.",Microbial pathogenesis,10.1016/j.micpath.2025.107283,39778756,abstract_only,in_vitro,in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,,a_baumannii_only,6
Liu_2024,2024,Molecular Epidemiology and Genetic Characterization of Carbapenem-Resistant Acinetobacter baumannii Isolates from the ICU of a Tertiary Hospital in East China.,Infection and drug resistance,10.2147/IDR.S491858,39759767,yes,omics,omics|clinical|methodology|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,,multi_species,6
Pathoor_2024,2024,3-Hydroxybenzoic acid inhibits the virulence attributes and disrupts biofilm production in clinical isolates of Acinetobacter baumannii.,European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,10.1007/s10096-024-05009-0,39739165,abstract_only,in_vitro,in_vitro,biofilm|virulence_factors,,a_baumannii_only,2
Rothong_2024,2024,Antimicrobial activity and synergistic effect of phage-encoded antimicrobial peptides with colistin and outer membrane permeabilizing agents against Acinetobacter baumannii.,PeerJ,10.7717/peerj.18722,39735565,yes,animal_model,animal_model|clinical|in_silico|methodology|in_vitro,biofilm|antibiotic_resistance|phage_therapy|peptide_amp|vaccine_immune|epidemiology,phage|peptide,multi_species,6
Oh_2024,2024,Comparative genomic and phenotypic analysis of low- and high-virulent Acinetobacter baumannii strains: Insights into antimicrobial resistance and virulence potential.,Microbial pathogenesis,10.1016/j.micpath.2024.107118,39551112,abstract_only,omics,omics|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance,,a_baumannii_only,4
Swain_2024,2024,Transcriptome and interactome-based analyses to unravel crucial proteins and pathways involved in Acinetobacter baumannii pathogenesis.,Molecular diversity,10.1007/s11030-024-11041-1,39543024,abstract_only,omics,omics,natural_product,,a_baumannii_only,1
Chen_2024,2024,Emergence of extensively-drug-resistant hypervirulent Acinetobacter baumannii isolated from patients with bacteraemia: bacterial phenotype and virulence analysis.,International journal of antimicrobial agents,10.1016/j.ijantimicag.2024.107358,39414173,abstract_only,animal_model,animal_model|clinical|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|iron_metabolism|epidemiology,,a_baumannii_only,6
Subbarayudu_2024,2024,Impact of acidic and alkaline conditions on Staphylococcus aureus and Acinetobacter baumannii interactions and their biofilms.,Archives of microbiology,10.1007/s00203-024-04142-w,39375235,abstract_only,in_vitro,in_vitro,biofilm|virulence_factors|antibiotic_resistance|polymicrobial,,a_baumannii_only,4
Benyamini_2024,2024,The Comparative Characterization of a Hypervirulent Acinetobacter baumannii Bacteremia Clinical Isolate Reveals a Novel Mechanism of Pathogenesis.,International journal of molecular sciences,10.3390/ijms25189780,39337268,yes,animal_model,animal_model|omics|clinical|in_silico|methodology|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|phage_therapy|natural_product,phage,multi_species,6
Yao_2024,2024,"Comparison of Hypervirulent and Non-Hypervirulent Carbapenem-Resistant Acinetobacter baumannii Isolated from Bloodstream Infections: Mortality, Potential Virulence Factors, and Combination Therapy In ","Antibiotics (Basel, Switzerland)",10.3390/antibiotics13090807,39334982,yes,animal_model,animal_model|omics|clinical|in_silico|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,,multi_species,6
Ribeiro_2024,2024,Eugenol as a promising antibiofilm and anti-quorum sensing agent: A systematic review.,Microbial pathogenesis,10.1016/j.micpath.2024.106937,39293727,abstract_only,review,review|in_vitro,qsi_discovery|biofilm|virulence_factors|natural_product|review_synthesis,natural_product,multi_species,5
Tuffet_2024,2024,Manipulation of natural transformation by AbaR-type islands promotes fixation of antibiotic resistance in Acinetobacter baumannii.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2409843121,39288183,yes,omics,omics,abaI_abaR_axis|antibiotic_resistance|epidemiology,,a_baumannii_only,3
Pumirat_2024,2024,"Impact of AbaI mutation on virulence, biofilm development, and antibiotic susceptibility in Acinetobacter baumannii.",Scientific reports,10.1038/s41598-024-72740-1,39277662,yes,animal_model,animal_model|omics|in_vitro,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|vaccine_immune,,multi_species,8
Chen_2024_2,2024,"Clinical, phenotypic characterization and genomic analysis of the mucoid Acinetobacter baumannii from a teaching hospital.",Microbial pathogenesis,10.1016/j.micpath.2024.106929,39270758,abstract_only,animal_model,animal_model|omics|clinical|in_vitro,biofilm|virulence_factors|antibiotic_resistance|epidemiology,,a_baumannii_only,4
Dong_2024,2024,Erythromycin disrupts Acinetobacter baumannii biofilms through destruction of the quorum sensing system.,Medicine,10.1097/MD.0000000000038341,39252274,yes,clinical,clinical|in_vitro,abaI_abaR_axis|ahl_chemistry|biofilm|antibiotic_resistance,,multi_species,4
Harkova_2024,2024,Cyclic AMP is a global virulence regulator governing inter and intrabacterial signalling in Acinetobacter baumannii.,PLoS pathogens,10.1371/journal.ppat.1012529,39241032,yes,animal_model,animal_model|omics|methodology|in_vitro,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|peptide_amp|second_messenger|polymicrobial|epidemiology,peptide,multi_species,11
Escalante_2024,2024,Carbapenem-resistant Acinetobacter baumannii (CRAB): metabolic adaptation and transcriptional response to human urine (HU).,Scientific reports,10.1038/s41598-024-70216-w,39160175,yes,animal_model,animal_model|omics|methodology|in_vitro,qsi_discovery|quorum_quenching|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|vaccine_immune|iron_metabolism,,a_baumannii_only,8
Jiang_2024,2024,The role of AbaI quorum sensing molecule synthase in host cell inflammation induced by Acinetobacter baumannii and its effect on zebrafish infection model.,International journal of biological macromolecules,10.1016/j.ijbiomac.2024.134568,39116980,abstract_only,animal_model,animal_model|omics,abaI_abaR_axis,,a_baumannii_only,1
Li_2024,2024,A novel Saclayvirus Acinetobacter baumannii phage genomic analysis and effectiveness in preventing pneumonia.,Applied microbiology and biotechnology,10.1007/s00253-024-13208-0,39066795,yes,animal_model,animal_model|in_vitro,antibiotic_resistance|phage_therapy|vaccine_immune|epidemiology,phage,multi_species,4
deSouza_2024,2024,Evaluating virulence features of Acinetobacter baumannii resistant to polymyxin B.,Letters in applied microbiology,10.1093/lambio/ovae061,38942450,abstract_only,in_vitro,in_vitro,abaI_abaR_axis|biofilm|virulence_factors,,multi_species,3
Firdose_2024,2024,Antibacterial mechanism of Pseudomonas aeruginosa UKMP14T rhamnolipids against multidrug resistant Acinetobacter baumannii.,Microbial pathogenesis,10.1016/j.micpath.2024.106743,38879138,abstract_only,in_vitro,in_vitro,ahl_chemistry|biofilm,,multi_species,2
Escalante_2024_2,2024,Carbapenem-resistant Acinetobacter baumannii (CRAB): metabolic adaptation and transcriptional response to human urine (HU).,Research square,10.21203/rs.3.rs-4415275/v1,38853891,yes,omics,omics|methodology|in_vitro,qsi_discovery|quorum_quenching|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|vaccine_immune|iron_metabolism,,multi_species,8
Guo_2024,2024,Acinetobacter baumannii biofilm was inhibited by tryptanthrin through disrupting its different stages and genes expression.,iScience,10.1016/j.isci.2024.109942,38812547,yes,animal_model,animal_model|in_vitro,qsi_discovery|abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|vaccine_immune,,multi_species,8
Koshak_2024,2024,Piceatannol: a renaissance in antibacterial innovation unveiling synergistic potency and virulence disruption against serious pathogens.,International microbiology : the official journal of the Spanish Society for Microbiology,10.1007/s10123-024-00532-8,38767683,abstract_only,in_silico,in_silico|in_vitro,qsi_discovery|biofilm|virulence_factors,,multi_species,3
Gonzales_2024,2024,"Disrupting quorum sensing as a strategy to inhibit bacterial virulence in human, animal, and plant pathogens.",Pathogens and disease,10.1093/femspd/ftae009,38724459,yes,methodology,methodology|in_vitro,quorum_quenching|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|peptide_amp|vaccine_immune,peptide|enzyme_qq|antibody_vaccine,multi_species,8
Rajangam_2024,2024,Current treatment strategies for targeting virulence factors and biofilm formation in Acinetobacter baumannii.,Future microbiology,10.2217/fmb-2023-0263,38683166,yes,review,review|omics|clinical|in_vitro,qsi_discovery|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|peptide_amp|vaccine_immune|iron_metabolism|epidemiology|review_synthesis,phage|peptide|antibody_vaccine,multi_species,11
Huidrom_2024,2024,Antimicrobial and Probiotic Potential of Lactobacilli Associated with Traditional Fermented Beverages.,Current microbiology,10.1007/s00284-024-03656-2,38597994,abstract_only,in_vitro,in_vitro,qsi_discovery|biofilm,,multi_species,2
Elfaky_2024,2024,Assessing the antibacterial potential of 6-gingerol: Combined experimental and computational approaches.,Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,10.1016/j.jsps.2024.102041,38558886,yes,in_silico,in_silico|in_vitro,qsi_discovery|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|natural_product,natural_product,multi_species,6
Lu_2024,2024,Antibacterial activity and mechanism of X33 antimicrobial oligopeptide against Acinetobacter baumannii.,Synthetic and systems biotechnology,10.1016/j.synbio.2024.03.002,38545458,yes,omics,omics|clinical|methodology|in_vitro,biofilm|antibiotic_resistance|gene_regulation|phage_therapy|natural_product|peptide_amp,natural_product|phage|peptide,a_baumannii_only,6
Jiang_2024_2,2024,Characterization of a Straboviridae phage vB_AbaM-SHI and its inhibition effect on biofilms of Acinetobacter baumannii.,Frontiers in cellular and infection microbiology,10.3389/fcimb.2024.1351993,38524182,yes,omics,omics|in_silico|in_vitro,biofilm|virulence_factors|antibiotic_resistance|phage_therapy,phage,multi_species,4
Jha_2024,2024,"In vitro and in silico assessment of anti-biofilm and anti-quorum sensing properties of 2,4-Di-tert butylphenol against Acinetobacter baumannii.",Journal of medical microbiology,10.1099/jmm.0.001813,38506718,abstract_only,in_silico,in_silico|in_vitro,qsi_discovery|abaI_abaR_axis|biofilm|virulence_factors|gene_regulation|natural_product,,a_baumannii_only,6
Tan_2024,2024,Isolation and genome-wide analysis of the novel Acinetobacter baumannii bacteriophage vB_AbaM_AB3P2.,Archives of virology,10.1007/s00705-024-05986-9,38451338,abstract_only,in_vitro,in_vitro,virulence_factors|antibiotic_resistance,phage,a_baumannii_only,2
Erol_2024,2024,Characterization of two bacteriophages specific to Acinetobacter baumannii and their effects on catheters biofilm.,Cell biochemistry and function,10.1002/cbf.3966,38444208,abstract_only,other,,biofilm|phage_therapy,phage,a_baumannii_only,2
NaseefPathoor_2024,2024,Understanding the biofilm development of Acinetobacter baumannii and novel strategies to combat infection.,"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",10.1111/apm.13399,38444124,abstract_only,review,review|clinical|in_vitro,biofilm|virulence_factors|antibiotic_resistance|phage_therapy|nanoparticle|peptide_amp|review_synthesis,phage|nanoparticle|peptide,a_baumannii_only,7
Correa_2024,2024,Novel mechanisms of diversity generation in Acinetobacter baumannii resistance islands driven by Tn7-like elements.,Nucleic acids research,10.1093/nar/gkae129,38407477,yes,methodology,methodology|in_vitro,abaI_abaR_axis|antibiotic_resistance|drug_repurposing,phage|repurposed_drug,a_baumannii_only,3
He_2024,2024,Deciphering the potential role of quorum quenching in efficient aerobic denitrification driven by a synthetic microbial community.,Water research,10.1016/j.watres.2024.121162,38277828,abstract_only,other,,quorum_quenching|polymicrobial,,multi_species,2
Cook_2024,2024,DNA damage response coregulator ddrR affects many cellular pathways and processes in Acinetobacter baumannii 17978.,Frontiers in cellular and infection microbiology,10.3389/fcimb.2023.1324091,38274737,yes,omics,omics|in_vitro,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|natural_product|second_messenger|iron_metabolism,phage,multi_species,10
Strateva_2024,2024,First detection of a cefiderocol-resistant and extensively drug-resistant Acinetobacter baumannii clinical isolate in Bulgaria.,Acta microbiologica et immunologica Hungarica,10.1556/030.2024.02201,38261035,abstract_only,omics,omics|in_vitro,biofilm|virulence_factors|antibiotic_resistance|iron_metabolism|epidemiology,,multi_species,5
YousefiNojookambari_2024,2024,"Sub-minimum inhibitory concentrations (sub-MICs) of colistin on Acinetobacter baumannii biofilm formation potency, adherence, and invasion to epithelial host cells: an experimental study in an Iranian",Microbiology spectrum,10.1128/spectrum.02523-23,38230925,yes,clinical,clinical|in_vitro,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|polymicrobial|epidemiology,,multi_species,6
