file,status,has_body,size
Trastoy_2018,ok,no,12128
Tuffet_2024,ok,yes,159594
Turton_2011,ok,no,7673
Tuttobene_2021,ok,yes,163286
Tyumentseva_2021,ok,yes,130262
Vallenet_2008,ok,yes,171326
Venkateswaran_2023,ok,yes,446276
VeraJauregui_2025,ok,yes,145946
Vilacoba_2013,ok,no,8230
Vukotic_2020,ok,yes,119097
Wang_2020,ok,yes,96800
Wang_2021,ok,yes,148077
Wang_2022_2,ok,yes,214507
Wheeler_2025,ok,yes,173914
Wienhold_2021,ok,yes,167711
Wintachai_2022,ok,yes,178133
Wiradiputra_2025,ok,yes,158337
Xie_2025,ok,yes,187097
Xiong_2022,ok,yes,106761
Yadav_2022,ok,yes,130485
Yan_2021,ok,yes,128979
Yao_2024,ok,yes,141561
YousefiNojookambari_2024,ok,yes,158307
Zeng_2023,ok,yes,111636
Zhang_2017,ok,yes,99468
Zhang_2025,ok,yes,70484
Zhong_2021,ok,yes,110668
Zhou_2011,ok,no,10282
Zhu_2013,ok,yes,168196
Zhu_2020,ok,yes,164895
Zhu_2022,ok,yes,100708
Zore_2022,ok,yes,126707
deVilliersdelaNoue_2025,ok,yes,146429
