filename,pmid,first_author,year,title,journal,doi,pmcid,authors_count,pub_types,has_abstract,open_access
Chanchaithong_2025,40490126,Chanchaithong,2025,Localization of AbaR4-type genomic islands and multidrug resistance plasmids in multiple Acinetobacter baumannii clones and Acinetobacter pittii from infections of dogs and cats.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",10.1016/j.meegid.2025.105782,,7,"Journal Article; Research Support, Non-U.S. Gov't",yes,unknown
Carpenito_2025,40426583,Carpenito,2025,LC-MS/MS Determination of Quorum Sensing Molecules in Plasma from Burn Patients with Septic Shock Sustained by Acinetobacter Baumannii.,"Antibiotics (Basel, Switzerland)",10.3390/antibiotics14050517,PMC12108150,11,Journal Article,yes,yes
Wheeler_2025,40422247,Wheeler,2025,MvfR Shapes Pseudomonas aeruginosa Interactions in Polymicrobial Contexts: Implications for Targeted Quorum-Sensing Inhibition.,Cells,10.3390/cells14100744,PMC12109783,7,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",yes,yes
Alagesan_2025,40420564,Alagesan,2025,Targeting TetR-family transcription regulators for combating tetracycline resistance in resilient Acinetobacter baumannii: in silico identification of potent inhibitors.,Journal of biomolecular structure & dynamics,10.1080/07391102.2025.2507812,,6,Journal Article,yes,unknown
Xie_2025,40407309,Xie,2025,"Contribution of RND superfamily multidrug efflux pumps AdeABC, AdeFGH, and AdeIJK to antimicrobial resistance and virulence factors in multidrug-resistant Acinetobacter baumannii AYE.",Antimicrobial agents and chemotherapy,10.1128/aac.01858-24,PMC12217454,7,"Journal Article; Research Support, Non-U.S. Gov't",yes,yes
Tolah_2025,40387740,Tolah,2025,Genome of a Carbapenem Resistant Acinetobacter baumannii Isolate of a new Sequence Type ST1724 from Saudi Arabia.,Clinical laboratory,10.7754/Clin.Lab.2024.240926,,6,Journal Article,yes,unknown
Khafagy_2025,40384051,Khafagy,2025,"Repurposing Nitroimidazoles: A New Frontier in Combatting Bacterial Virulence and Quorum Sensing via In Silico, In Vitro, and In Vivo Insights.",Drug development research,10.1002/ddr.70101,,8,Journal Article,yes,unknown
Li_2025,40231681,Li,2025,Indole derivatives display antimicrobial and antibiofilm effects against extensively drug-resistant Acinetobacter baumannii.,Microbiology spectrum,10.1128/spectrum.03388-24,PMC12073863,4,Journal Article,yes,yes
Jiang_2025,40164737,Jiang,2025,Terramide A: a novel ironophore targeting Acinetobacter baumannii with mechanistic insights into bacterial iron deprivation.,The Journal of antibiotics,10.1038/s41429-025-00816-9,,13,"Journal Article; Research Support, Non-U.S. Gov't",yes,unknown
Krishnan_2025,40100248,Krishnan,2025,Fractional inhibitory concentration of bio-actives from agricultural waste disassembles biofilms and quenches virulence of nosocomial pathogens.,Journal of medical microbiology,10.1099/jmm.0.001980,PMC11920071,4,Journal Article,yes,yes
Chong_2025,40098357,Chong,2025,Insights into biofilm-mediated mechanisms driving last-resort antibiotic resistance in clinical ESKAPE pathogens.,Critical reviews in microbiology,10.1080/1040841X.2025.2473332,,4,Journal Article; Review,yes,unknown
lek_2025,40090498,İşlek,2025,Isolation and characterization a novel Acinetobacter bacteriophage with activity against several multidrug-resistant Gram-negative bacteria.,Microbial pathogenesis,10.1016/j.micpath.2025.107488,,4,Journal Article,yes,unknown
Su_2025,40057696,Su,2025,Characterization of a novel lytic phage vB_AbaM_AB4P2 encoding depolymerase and its application in eliminating biofilms formed by Acinetobacter baumannii.,BMC microbiology,10.1186/s12866-025-03854-3,PMC11889872,9,Journal Article,yes,yes
Aruwa_2025,40056709,Aruwa,2025,Modulating Acinetobacter baumannii BfmR (RstA) drug target: Daniellia oliveri compounds as RstA quorum sensing inhibitors.,Computational biology and chemistry,10.1016/j.compbiolchem.2025.108413,,4,Journal Article,yes,unknown
